- Nikto v2.5.0/
+ Target Host: 0.0.0.0
+ Target Port: 5000
+ GET /: The anti-clickjacking X-Frame-Options header is not present. See: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options: 
+ GET /: The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type. See: https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/: 
+ GET /forums//admin/config.php: Retrieved access-control-allow-origin header: *.
+ GET /forums//admin/config.php: Uncommon header 'x-server-env' found, with contents: dev.
+ GET /forums//admin/config.php: PHP Config file may contain database IDs and passwords.
+ GET /forums//adm/config.php: PHP Config file may contain database IDs and passwords.
+ GET /forums//administrator/config.php: PHP Config file may contain database IDs and passwords.
+ GET /level/50/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/51/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/52/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/53/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/54/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/55/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/56/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/57/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/58/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/59/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/60/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/61/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/62/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/63/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/64/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/65/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/66/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/67/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/68/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/69/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/70/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/71/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/72/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/73/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/74/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/75/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/76/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/77/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/78/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/79/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/80/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/81/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/82/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/83/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/84/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/85/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/86/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/87/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/88/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/89/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/90/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/91/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/92/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/93/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/94/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/95/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/96/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/97/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/98/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET /level/99/exec//show: CISCO HTTP service allows remote execution of commands. See: CVE-2001-0537: 
+ GET //admin/admin.shtml: Axis network camera may allow admin bypass by using double-slashes before URLs. See: CVE-2003-0240: 
+ GET //admin/aindex.htm: FlexWATCH firmware 2.2 is vulnerable to authentication bypass by prepending an extra /'s. See: CVE-2006-3604: 
